Vídeo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
Total,,,3871,"113,8701",48,16366,"4,55"
JH5PzkxlRO0,Física 2 - Hidrostática - Vaso emborcado na água - pressão em uma coluna de ar.,"Apr 8, 2020",69,"2,1439",2,89,"1,12"
umbHfvfHaXY,Física 1 - EStática - Equilíbrio de forças,"May 18, 2020",56,"1,3047",1,51,0
-ihHhs2cK7Y,Física 2 - Dilatometria - Lâminas Bimetálicas,"Apr 16, 2020",53,"1,0191",1,19,"5,26"
jwcG5zEuY40,Física 2 - Reflexão caixa com espelhos 2e,"Jun 22, 2020",52,"4,3242",0,131,"2,29"
ffYfaJxaR1o,física 1 - Forças resultantes - Composição - Sistemas de equações de 2º grau,"Mar 30, 2020",51,"2,868",0,49,"34,69"
eAsKXA6hEh4,Física 2 - Calor latente e fusão do gelo,"Apr 30, 2020",49,"2,1039",0,163,"6,13"
M1NwBUpQYkE,"Física 3 - Lei de Gauss , campo no interior de uma esfera não condutora","Sep 15, 2020",48,"1,9429",0,142,"4,23"
ZVYVXz5JBIA,Enem - 2017   Bateria e carga,"Jun 3, 2020",42,"1,4534",0,46,"4,35"
P1PnRAJ2fZw,Física 1 - MCU,"Mar 22, 2020",39,"2,5947",0,144,"4,17"
OsNL-v1C9JA,Física 1 - Forças  - REsultante,"Mar 31, 2020",36,"1,5889",0,56,"1,79"
kupZTvsGB2w,Bem-Vindos !,"Apr 30, 2020",36,"0,3261",2,35,"5,71"
5HinEYxhfX8,Física 1 - Forças - Dinamômetro - Sistemas de dois corpos,"Apr 1, 2020",35,"1,2019",1,36,"11,11"
WWLQui1Ot58,Física 1 - Movimento uniforme - Básica,"Apr 13, 2020",33,"1,2994",1,65,"3,08"
RfFcDgCp2Pk,Fisica 2 - Primeira lei da termodinâmica básico,"May 14, 2020",32,"0,632",1,35,"11,43"
5SuSYz1hiSA,Física 2 - Óptica  - difusão da luz,"May 24, 2020",29,"0,6858",0,54,"16,67"
81axhQnPrPU,Física 1 Estática - Equilíbrio de forças - massa pendurada em uma parede em equilíbrio,"May 18, 2020",28,"1,7018",0,22,"13,64"
1SUB2U0Gh8I,Física 2 - Acústica  - Frequência e período através de um gráfico,"Apr 7, 2020",27,"0,6016",0,42,"9,52"
96MAYoSCJok,física 1 - MRUV - Gráfico a x t para encontrar o deslocamento,"Apr 13, 2020",27,"3,023",0,66,"7,58"
Vqvtnflghns,Física 2 - Rendimento de uma máquina de carnot  2 e,"Jun 2, 2020",27,"0,9207",0,14,"7,14"
q7F9USn_U5o,Física 1 - Ultrapassagem de corpos extensos,"May 5, 2020",27,"0,8848",2,36,"5,56"
OI94UgzistQ,Física 1 - Forças - Gráfico F x  t,"Mar 31, 2020",26,"1,0922",1,41,"14,63"
qnUqcA5D74E,Física 2 - Hidrostática - Densidade de Fluídos,"Apr 8, 2020",26,"0,585",0,18,0
whYVsVMUb5Y,Física 2 - Hidrostática - Coluna de Mercúrio - Manômetros,"Apr 8, 2020",25,"0,3897",0,63,"6,35"
79Qsx3WHqGQ,Física 1 MCU,"Mar 22, 2020",24,"0,4317",0,91,"17,58"
HotO3seMmGE,Física 2 - Trocas térmicas interrompidas antes de ocorrer equilíbrio térmico,"Apr 23, 2020",24,"0,9096",0,33,"9,09"
lZACNiHtPBs,Física 1 - MRUV - Gráfico vx t calcular o deslocamento,"Apr 13, 2020",24,"0,467",1,74,"4,05"
wijWjKOLhaA,Física   - Lançamento Parabólico - Encontro de móveis em lançamento,"Apr 6, 2020",24,"1,3626",1,62,"3,23"
HWfN-wscDuA,Física 1 - Trabalho e forças de atrito,"Apr 20, 2020",23,"0,9012",0,33,"3,03"
WDJG6iSX4yM,Física 2 - Transformações Termodinâmicas gráfico V x T,"May 4, 2020",23,"0,5804",0,17,"5,88"
dVimIuDNm_c,Física 2 - Equação fundamental dos gases e primeira lei da termodinamica,"May 14, 2020",23,"0,5424",0,26,0
nOOBxlwzo5U,Física 2 - Calorimetria - Caloria alimentar,"Apr 21, 2020",23,"0,6429",0,26,0
nUWQtHu2PSQ,"Física 2 - Equilíbrio térmico entre gelo e água, gelo que sobra","May 1, 2020",23,"0,3356",0,29,0
8xqugJhiJWc,Física 1 - Forças e atrito - Básica,"May 7, 2020",22,"0,7844",0,33,"6,06"
9_H1Z3dDcHw,física 2-  Reflexão em espelhos concavos - formação de imagem,"Jun 24, 2020",22,"0,7997",1,41,"4,88"
S8v8hZMCZ1I,Física 2 - Hidrostática - Densidade de misturas,"Apr 8, 2020",22,"0,8338",1,35,"8,57"
0KGgaIJdymY,Física 1 - Estática de Sólidos,"May 17, 2020",21,"1,2595",1,35,"8,57"
DQB_8mfjVnM,Física 2 - Ausência de Sombra,"May 24, 2020",21,"0,6808",0,19,"5,26"
weH8zOi4hHA,Física 2 - Formação de imagem em espelhos planos,"Jun 22, 2020",21,"0,6809",0,127,"4,72"
H07ls1aBpHA,Física 2 - Hidrostática - Equação de Bernoulli,"Apr 17, 2020",20,"0,5172",1,26,"3,85"
RDjRY3SsLpc,Física 1 - Tração nas rodas de um carro,"May 7, 2020",20,"0,6364",0,62,"9,68"
Rhg2ahawVok,Física 1 - Estática,"May 18, 2020",20,"0,7934",0,33,0
XNN19pIAV-M,Física 2 - Refrigeradores rendimento,"Jun 2, 2020",20,"0,3659",0,40,"2,5"
jN3Lm5idyEI,Física 1 - Movimento Uniforme - Equações de movimento,"Apr 12, 2020",20,"0,5103",0,47,"6,38"
uYIJ31eLeTA,Física 2 - Transformações termodinâmicas,"May 4, 2020",20,"0,5385",0,62,"1,61"
0wGCw_DfsKw,Física 2 - Hidrodinâmica - Vazão,"Apr 17, 2020",19,"0,6369",0,40,0
I24breZblHo,Física 2 Dilatometria 2e,"Jun 8, 2020",19,"0,8157",0,20,10
yjcMS74IoW0,Física 2 - Termodinâmica   - Trabalho em um Diagrama p  x V,"May 14, 2020",19,"0,3819",0,22,"4,55"
1vEvRmeEzsE,Física 1- MRUV - Básica,"Apr 13, 2020",18,"0,258",0,38,"5,26"
6vw-oiIYD9w,Física 2 Cálculando entropia de um processo isobárico,"Jun 2, 2020",18,"0,2555",1,14,"7,14"
AKLRIEb1QmI,Física 1 - Calculando a força resultante,"Jul 7, 2020",18,"0,5377",0,109,"3,67"
N-l34G6FkXA,Física 2 - Hidrostática - Elevadores Hidráulicos,"Sep 17, 2020",18,"0,4187",0,230,"3,04"
N8Y55qIsnVw,"Física 1 - Angulo de inclinação, força de atrito máximo e coeficiente de atrito estático","May 7, 2020",18,"0,6493",0,59,"10,17"
kkRGR2Dld40,Física 2 - Calorimetria - Fonte térmica,"Apr 21, 2020",18,"0,6894",0,22,"27,27"
qU5AApp_Ue8,Física 1 - Pêndulo de Newton - Conserva quantidade de movimento e energia  3 e,"Jun 15, 2020",18,"0,9408",0,36,"2,78"
2zdAXsguNAE,Física 1 - Movimento uniformemente acelerado - Equações,"Apr 13, 2020",17,"0,9966",2,36,25
9HzEXFEEcTU,Física 2 - Espelhos Côncavos - distância entre imagens,"Jun 28, 2020",17,"0,4183",0,31,"22,58"
B9mxlLw6lKI,FÍSICA 2 - Equação de Bernoulli na forma completa,"Apr 17, 2020",17,"1,0881",0,44,"4,55"
Dq984alYrpg,Física 1 - Gráfico vxt - cálculo da aceleração e do deslocamento,"Apr 13, 2020",17,"0,5517",0,48,"8,33"
LLi5zgcxL5c,Física 1 - MCU -,"Mar 22, 2020",17,"0,9823",1,125,"6,4"
MsjI9e1vGxA,Física 3 - Campo elétrico resultante em um retangulo com cargas nos vértices,"Sep 8, 2020",17,"0,4308",1,78,"2,56"
RgDbA_fCppI,Física 1 - Forças - Sistemas Acelerados,"Apr 1, 2020",17,"0,3726",0,19,"21,05"
yoGJvsS3YmU,Física 2 - Acústica  - Atraso sonoro,"Apr 7, 2020",17,"0,6973",0,20,0
ToJI-pBZe2w,Física 2 - Hidrostática - Pressão e Lei de Stevin,"Apr 8, 2020",16,"0,3453",0,13,"7,69"
Y0ZDspZqgRk,Física 2 -  Ondulatória - Interferência em filmes finos,"Apr 4, 2020",16,"0,556",0,47,"4,26"
YhNUoCNimIY,Física 1 - Trabalho Devido a força elástica,"Apr 20, 2020",16,"0,1974",0,18,"5,56"
ZU7a0BFySDQ,"Física 2 - Imagens em espelhos côncavos - real , virtual , direita e invertida","Jun 28, 2020",16,"0,2871",0,75,"6,67"
gaN3lL1Ugbc,Física 1 - Movimento uniforme - Deslocamento como hipotenusa de um triangulo,"Apr 13, 2020",16,"0,3973",0,30,"3,33"
l1jx8qchpzo,Física 1 - MCU,"Mar 22, 2020",16,"0,6492",0,55,"5,45"
oauZw6fAdEc,física 1 - forças de atrito Atrito,"Jun 9, 2020",16,"0,4799",0,30,"3,33"
1-a3RnXgSe8,Física 2- Demonstração partindo de Poisson e eliminando a pressão,"Oct 1, 2020",15,"0,2437",0,162,"1,85"
7g9CUzzgIjA,Física 3 - Eletrização por indução,"Aug 13, 2020",15,"0,4165",0,25,4
8c2UxAxdX5U,Física 1- Trabalho de uma força variável através da área de um gráfico,"Sep 25, 2020",15,"0,2169",1,117,"1,71"
Hhrj2_tF26g,Física 1 - Movimento uniforme - Encontro de móveis,"Apr 13, 2020",15,"0,6395",0,39,"2,56"
LPh1GxKYhYc,Física 2 - Equilíbrio térmico entre gelo e água,"May 1, 2020",15,"0,4394",0,32,"6,25"
M71JfqLGQaY,Física 2 - Hidrostática - Pressão em mmH e cálculo da pressão atm,"Aug 20, 2020",15,"0,4443",0,57,"5,26"
TCGF8UIvE5k,"Física 2 - Calor específico a pressão e volume constante, Relação calor e trabalho","May 30, 2020",15,"0,3354",2,41,"2,44"
VH-iCJVhKGU,Física 2 - Calorimetria - Equivalente em água  - básica,"Apr 30, 2020",15,"0,2429",0,45,20
XNiAqE6AtJQ,Física 2 - Fluxo de calor em barras sobrepostas,"Apr 21, 2020",15,"0,516",0,38,"5,26"
dQ7OwyC3cA0,Física 2 - Ondulatória - Experimento de Young,"Apr 4, 2020",15,"0,2608",0,42,"4,76"
f3IeGRXAoA8,Física 3 - Potencial Elétrico Resultante,"Sep 15, 2020",15,"0,0893",0,57,"5,26"
j0Lt91kYv3U,Física 1 - Força - Peso,"Mar 31, 2020",15,"0,3392",0,26,"3,85"
mhPY0ew38Mk,Física 3 - Placas paralelas e o potencial elétrico,"Sep 15, 2020",15,"0,1111",0,131,"2,29"
nudDP1T8l0k,"Óptica - CÂmara escura, inversão horizontal  e vertical","May 24, 2020",15,"0,3197",0,53,"3,77"
wjSl2yrsUF0,Física 1 - Trabalho - Decomposição de forças,"Apr 20, 2020",15,"0,3649",0,23,"8,7"
S7-OmnX3HNA,"Física 1 - MRUA -Classificação Mov. progressivo ou retrógrado e acelerado, retardado e uniforme.","Apr 13, 2020",14,"0,5034",0,49,"6,12"
SF_UBOCP9uk,Física 1- Equação de Torricelli,"Sep 29, 2020",14,"0,2552",0,128,"5,47"
SuL5SKqdx3A,Física 1 - Equação horária da velocidade,"Jun 1, 2020",14,"0,3445",0,46,"6,52"
ap7XMY-YOyw,Física 1 - Aceleração - básica,"Jun 1, 2020",14,"0,2373",0,48,"6,25"
eQdxTZvQ8Pw,Física 1 - Movimento Uniforme - Velocidade Vetorial e escalar,"Apr 3, 2020",14,"0,4866",0,35,"11,43"
lHUDdHk-p2o,Física 1 - Movimento Uniforme - Básica,"Apr 12, 2020",14,"0,2158",0,41,"4,88"
lczxjKpmcBI,Física 1 - MCU,"Mar 23, 2020",14,"0,8694",0,15,20
